# l_Ag_at,l_Al_at,l_Au_at,l_Bi_at,l_Cd_at,l_Cs_at,l_Cu_at,l_Fe_at,l_Ga_at,l_Hg_at,l_In_at,l_K_at,l_Li_at,l_Mg_at,l_Mn_at,l_Na_at,l_Pb_at,l_Pd_at,l_Pu_at,l_Rb_at,l_Sb_at,l_Si_at,l_Sn_at,l_Te_at,l_Tl_at,l_U_at,l_Zn_at,l_boiling,l_electronegativity,l_melting,l_radius,s_Ag_at,s_Al_at,s_B_at,s_Be_at,s_C_at,s_Cd_at,s_Co_at,s_Cr_at,s_Cu_at,s_Fe_at,s_Ge_at,s_H_at,s_Mg_at,s_Mn_at,s_Mo_at,s_N_at,s_Nb_at,s_Ni_at,s_O_at,s_P_at,s_Pb_at,s_Re_at,s_S_at,s_Si_at,s_Sn_at,s_Ta_at,s_Ti_at,s_V_at,s_W_at,s_Zn_at,s_Zr_at,s_boiling,s_electronegativity,s_melting,s_radius,t_intermetallic,t_mechanism,t_phase_1,t_phase_2,t_s_homologous,t_temperature
6.653278610862179976e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.269183312629539928e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.783453860803637520e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.991926904279164134e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.646355713395576004e+03,1.919112903462341313e+00,1.003000000000000000e+03,1.526215619106235488e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746346109961688972e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.795545380780679268e-01,0.000000000000000000e+00,6.987610910455623880e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.996986877839139474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600719742956576042e-02,0.000000000000000000e+00,2.533252532201560976e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.748334443951691261e-04,5.104511359800949395e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.088226804123917191e+03,1.802270115952702589e+00,1.773000000000000000e+03,1.393374779013837994e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.051889452904681832e-01,1.073000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.702813693730089284e-01,0.000000000000000000e+00,1.297186306269910161e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.459877140757236702e+03,1.806108441081190064e+00,2.880000000000000000e+02,1.332429657656747812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746346109961688972e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.795545380780679268e-01,0.000000000000000000e+00,6.987610910455623880e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.996986877839139474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600719742956576042e-02,0.000000000000000000e+00,2.533252532201560976e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.748334443951691261e-04,5.104511359800949395e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.088226804123917191e+03,1.802270115952702589e+00,1.773000000000000000e+03,1.393374779013837994e+00,-9.017655750000042048e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.743936830231246127e-01,1.373000000000000000e+03
7.097559758400260321e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.286531675927882479e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.615908565671858588e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.662853949318799096e+03,1.969769936245356901e+00,1.173000000000000000e+03,1.535518536788365918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.754549983324104917e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.803980379339309159e-01,0.000000000000000000e+00,6.585515471427438872e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.028656879360490162e-02,0.000000000000000000e+00,6.394156682017321756e-04,0.000000000000000000e+00,6.430547594513746912e-02,0.000000000000000000e+00,3.393537445814032356e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.756547657982697095e-04,5.128491007669114254e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.027987835850832198e+03,1.780709455714891920e+00,1.773000000000000000e+03,1.394437795246306511e+00,-1.109491199999999012e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.897913141567963979e-01,1.223000000000000000e+03
6.653278610862179976e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.269183312629539928e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.783453860803637520e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.991926904279164134e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.646355713395576004e+03,1.919112903462341313e+00,1.003000000000000000e+03,1.526215619106235488e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.710142037654032994e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.573234885215962220e-01,0.000000000000000000e+00,6.494871063253314647e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.955586689806359385e-02,4.268876582248742890e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.253557877636314322e-01,0.000000000000000000e+00,2.480734845514933522e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.712089150841850267e-04,4.998688065488724949e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.170222636774597959e+03,1.822585871494428966e+00,1.773000000000000000e+03,1.394079619580806062e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.051889452904681832e-01,1.073000000000000000e+03
1.062566299803182207e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.601017110855001757e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.336416589341815897e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.075280138911447011e+03,1.911206198435460246e+00,1.258000000000000000e+03,1.389928323388497811e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746346109961688972e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.795545380780679268e-01,0.000000000000000000e+00,6.987610910455623880e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.996986877839139474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600719742956576042e-02,0.000000000000000000e+00,2.533252532201560976e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.748334443951691261e-04,5.104511359800949395e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.088226804123917191e+03,1.802270115952702589e+00,1.773000000000000000e+03,1.393374779013837994e+00,-3.194974500000036244e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.179921037789057658e-01,1.273000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,1.170126572567330636e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.167008985954399924e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.352969951384496161e-01,0.000000000000000000e+00,5.151797098637362904e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.859042277124986594e-03,2.080347326303135652e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.054475491223025974e-01,0.000000000000000000e+00,5.373040063560530037e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.562337879333753641e-05,9.744022486201662017e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.785257192049424096e-02,2.651057243849184943e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-9.017655750000042048e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.062243100411039531e-01,1.373000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.477000000000000000e+03,1.810000000000000053e+00,3.020000000000000000e+02,1.300000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+03,1.689999999999999947e+00,5.942000000000000455e+02,1.550000000000000044e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,5.015146415348367137e-01,2.980000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.356000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,1.170126572567330636e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.167008985954399924e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.352969951384496161e-01,0.000000000000000000e+00,5.151797098637362904e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.859042277124986594e-03,2.080347326303135652e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.054475491223025974e-01,0.000000000000000000e+00,5.373040063560530037e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.562337879333753641e-05,9.744022486201662017e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.785257192049424096e-02,2.651057243849184943e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-9.017655750000042048e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.062243100411039531e-01,1.373000000000000000e+03
1.062566299803182207e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.601017110855001757e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.336416589341815897e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.075280138911447011e+03,1.911206198435460246e+00,1.258000000000000000e+03,1.389928323388497811e+00,0.000000000000000000e+00,1.170126572567330636e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.167008985954399924e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.352969951384496161e-01,0.000000000000000000e+00,5.151797098637362904e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.859042277124986594e-03,2.080347326303135652e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.054475491223025974e-01,0.000000000000000000e+00,5.373040063560530037e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.562337879333753641e-05,9.744022486201662017e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.785257192049424096e-02,2.651057243849184943e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.166041301536876745e+03,1.832171505348093810e+00,1.703000000000000000e+03,1.385213790685672963e+00,-2.679188835000004820e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.475044039929535922e-01,1.273000000000000000e+03
