# id,l_boiling,l_electronegativity,l_melting,l_radius,s_boiling,s_electronegativity,s_melting,s_radius,t_intermetallic,t_mechanism,t_phase_1,t_phase_2,t_s_homologous,t_temperature
5.290000000000000000e+02,6.298799999999999955e+02,2.000000000000000000e+00,2.345000000000000000e+02,1.500000000000000000e+00,3.198595715567780644e+03,1.901443656892935374e+00,1.353000000000000000e+03,1.348687584642785930e+00,-3.973252500000690191e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.202512934220251239e-01,2.980000000000000000e+02
5.250000000000000000e+02,1.180000000000000000e+03,1.649999999999999911e+00,6.925000000000000000e+02,1.350000000000000089e+00,3.124305983037555507e+03,1.826754325490482112e+00,1.700000000000000000e+03,1.399666013559670574e+00,-6.837464475862020663e-02,1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,6.605882352941176983e-01,1.123000000000000000e+03
5.350000000000000000e+02,6.298799999999999955e+02,2.000000000000000000e+00,2.345000000000000000e+02,1.500000000000000000e+00,3.190445321646536286e+03,1.909822566531598653e+00,1.353000000000000000e+03,1.341070394062183091e+00,-3.973252500000690191e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.202512934220251239e-01,2.980000000000000000e+02
4.850000000000000000e+02,2.777215247146981255e+03,1.942116062900037576e+00,4.730000000000000000e+02,1.444230988032270346e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.284030010718113735e-01,4.930000000000000000e+02
5.180000000000000000e+02,6.298799999999999955e+02,2.000000000000000000e+00,2.343000000000000114e+02,1.500000000000000000e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.358000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.194403534609720152e-01,2.980000000000000000e+02
4.860000000000000000e+02,2.777215247146981255e+03,1.942116062900037576e+00,4.730000000000000000e+02,1.444230988032270346e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.498392282958198818e-01,5.130000000000000000e+02
4.720000000000000000e+02,6.353725908067980299e+02,1.996505477382427118e+00,2.314000000000000057e+02,1.498502347449611749e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.997856377277599349e-01,3.730000000000000000e+02
4.710000000000000000e+02,6.353725908067980299e+02,1.996505477382427118e+00,2.314000000000000057e+02,1.498502347449611749e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.569131832797427517e-01,3.330000000000000000e+02
4.700000000000000000e+02,6.353725908067980299e+02,1.996505477382427118e+00,2.314000000000000057e+02,1.498502347449611749e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.140407288317256240e-01,2.930000000000000000e+02
4.870000000000000000e+02,2.777215247146981255e+03,1.942116062900037576e+00,4.730000000000000000e+02,1.444230988032270346e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.330000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.712754555198285011e-01,5.330000000000000000e+02
